PIB	PVC	RH	V	PPI	MC	SE
126557	5429	10186	6599	1045	6829	8791
128568	5766	10135	6630	1059	6893	9005
128777	5638	10092	6682	1040	6848	9067
130951	5626	10488	6816	1014	6860	9194
134159	5706	10749	7210	984	7006	9383
136146	5961	10868	6876	965	6959	9571
138718	6108	11047	7723	962	7112	9738
140412	6244	11134	8912	998	6982	9901
143237	6376	11282	9822	1074	6871	10064
145155	6294	11464	10802	1155	6919	10203
148237	6373	11706	9601	1231	7129	10451
149828	6448	11787	8027	1292	7515	10529
150419	6420	12001	7680	1237	7536	10634
151458	6454	12174	7083	1253	7639	10650
153315	6600	12161	7128	1275	7876	10708
150521	6517	12076	7619	1308	8050	10808
151088	6474	12422	8344	1336	8261	10875
152670	6384	12616	8797	1365	8430	10997
153748	6258	12371	8608	1375	8802	11042
155109	6401	12122	8310	1362	9166	11083
156930	6600	12806	7751	1360	9486	11132
159077	6817	12990	8430	1349	9637	11326
160437	7196	13284	8218	1343	9571	11375
163708	7304	13112	8349	1358	9733	11521
167009	7532	13210	8182	1462	10304	11807
169830	7905	13381	7938	1509	10959	12060
173245	7979	13728	8643	1555	11330	12298
174543	8191	13866	8770	1592	11382	12403
175981	8242	13607	8265	1592	11382	12576
178189	8400	14101	8079	1609	11540	12661
177718	8511	14306	8662	1667	11595	12768
179528	8420	14431	8274	1740	11818	12901
182480	8535	14373	9308	1858	12036	12939
186815	8730	14892	9796	1963	12125	13341
187934	8780	15104	7470	2027	12320	13479
190710	8843	15329	8851	2053	12314	13835
193220	8960	15479	9096	2056	12219	14101
194584	9100	15638	9597	2063	11969	14363
195963	9020	15655	9869	2064	11873	14506
197822	9080	15850	10532	2117	12075	14531
199725	8997	15764	11108	2075	12066	14465
200422	8997	15875	10365	2091	12033	14364
202925	9229	16113	11291	2121	11797	14507
201620	9169	16162	10041	2118	11731	14056
203761	9460	16270	10355	1914	11813	14042
204571	9585	16543	10391	1839	11510	13990
205939	9580	16705	10680	1816	11686	13959
207218	9570	17002	11278	1827	11243	14004
206312	9612	16735	10911	1847	11024	14031
207865	9518	16704	10836	1874	11056	14181
208762	9615	16943	10214	1887	10785	14285
209718	9779	17128	9935	1877	10728	14312
211333	9724	17114	10334	1892	10479	14592
212410	9798	17143	10513	1909	10637	14746
214393	9925	17220	10476	1900	10823	14776
215463	10032	17331	10419	1897	10838	14861
216460	10059	17631	9860	1920	11031	15074
219979	10215	17896	9752	1935	10890	15239
221701	10503	18064	9741	1948	10928	15375
223289	10681	18224	9288	1996	10804	15454
218582	9185	16763	9088	1944	10550	15528
185992	5233	8869	5855	1711	8602	13695
